"Archon, Owl",11,Large,"outsider(archon, extraplanar, good, lawful)",10,LG,,Any,Celestia,159, Book of Exalted Deeds,1
"Archon, Sword",11,Large,"outsider(archon, extraplanar, good, lawful)",11,LG,,Any,Celestia,160, Book of Exalted Deeds,1
"Archon, Throne",15,Large,"outsider(archon, extraplanar, good, lawful)",14,LG,,Any,Celestia,162, Book of Exalted Deeds,1
"Archon, Warden",8,Large,"outsider(archon, extraplanar, good, lawful)",8,LG,,Any,Celestia,163, Book of Exalted Deeds,1
Asura,8,Medium,"outsider(chaotic, extraplanar, good)",8,CG,,Any,Any Upper,164, Book of Exalted Deeds,1
Bariaur,3,Large,"outsider(chaotic, extraplanar, good)",3,CG,,Any,Ysgard,166, Book of Exalted Deeds,1
Bariaur Defender Of Ysgard (ranger 6),9,Large,"outsider(chaotic, extraplanar, good)",9,CG,,Any,Ysgard,166, Book of Exalted Deeds,1
Crypt Warden,8,Medium,deathless,9,LG,, Underground,Material,168, Book of Exalted Deeds,1
Eladrin: Coure,2,Tiny,"outsider(chaotic, extraplanar, good)",2,CG,,Any,Arborea,168, Book of Exalted Deeds,1
Eladrin: Firre,10,Medium,"outsider(chaotic, extraplanar, good)",8,CG,,Any,Arborea,169, Book of Exalted Deeds,1
Eladrin: Shiradi,14,Large,"outsider(chaotic, extraplanar, good)",12,CG,,Any,Arborea,170, Book of Exalted Deeds,1
Eladrin: Tulani,18,Medium,"outsider(chaotic, extraplanar, good)",18,CG,,Any,Arborea,171, Book of Exalted Deeds,1
Guardinal: Equinal,6,Large,"outsider(extraplanar, good)",6,NG,,Any,Elysium,173, Book of Exalted Deeds,1
Guardinal: Musteval,2,Tiny,"outsider(extraplanar, good)",2,NG,,Any,Elysium,174, Book of Exalted Deeds,1
Guardinal: Ursinal,10,Large,"outsider(extraplanar, good)",10,NG,,Any,Elysium,174, Book of Exalted Deeds,1
"Hollyphant, Winged Elephant Form",8,Small,"outsider(extraplanar, good)",6,NG,,Any,Beastlands,176, Book of Exalted Deeds,1
"Hollyphant, Winged Mastodon Form",8,Large,"outsider(extraplanar, good)",6,NG,,Any,Beastlands,176, Book of Exalted Deeds,1
Leskylor,7,Large,magical beast,6,NG,,Any,Elysium,178, Book of Exalted Deeds,1
"Leskylor, Three-headed",10,Large,magical beast,10,NG,,Any,Elysium,178, Book of Exalted Deeds,1
Moon Dog,12,Medium,"outsider(extraplanar, good)",9,NG,,Any,Elysium,179, Book of Exalted Deeds,1
Quesar,7,Medium,construct(extraplanar),8,NG,,Any,Elysium,180, Book of Exalted Deeds,1
Rhek,4,Medium,monstrous humanoid(extraplanar),5,LG,,Any,Arcadia,182, Book of Exalted Deeds,1
Rhek Chaosgrinder (monk 8),12,Medium,monstrous humanoid(extraplanar),13,LG,,Any,Arcadia,182, Book of Exalted Deeds,1
Sacred Watcher,7,Medium,deathless(augmented humanoid),5,G,,Any,Material,182, Book of Exalted Deeds,1
Saint,9,Medium,"outsider(augmented humanoid, native)",7,LG,,Any,Material,184, Book of Exalted Deeds,1
Sanctified Young Red Dragon,6,Large,"dragon(fire,AUGMENTED)",10,CG,Warm, Mountains,Material,186, Book of Exalted Deeds,1
Apocalypse Frog Swarm (Divine Wrath),4,Diminutive,magical beast(swarm),5,N,,Any,Material,188, Book of Exalted Deeds,1
Bronze Locust Swarm (Divine Wrath),17,Fine,construct(swarm),15,N,,Any,Material,188, Book of Exalted Deeds,1
Deathraven Swarm (Divine Wrath),20,Tiny,magical beast(swarm),18,N,,Any,Material,189, Book of Exalted Deeds,1
Sunfly Swarm (Divine Wrath),10,Diminutive,"outsider(extraplanar, good, swarm)",9,N,,Any,Material,190, Book of Exalted Deeds,1
Demon: Bar-lgura (tanar'ri),5,Medium,"outsider(chaotic, evil)",6,CE,,Any/Underground,Material,170, Book of Vile Darkness,1
Demon: Mane (tanar'ri),1,Small,"outsider(chaotic, evil)",1,CE,,Any/Underground,Material,170, Book of Vile Darkness,1
Demon: Rutterkin (tanar'ri),3,Medium,"outsider(chaotic, evil)",5,CE,,Any/Underground,Material,170, Book of Vile Darkness,1
Demon: Babau (tanar'ri),7,Medium,"outsider(chaotic, evil)",7,CE,,Any/Underground,Material,172, Book of Vile Darkness,1
Demon: Chasme (tanar'ri),10,Large,"outsider(chaotic, evil)",9,CE,,Any/Underground,Material,172, Book of Vile Darkness,1
Demon: Shadow Demon,8,Medium,"outsider(chaotic, evil, incorporeal)",10,CE,,Any/Underground,Material,172, Book of Vile Darkness,1
Devil: Ghargatula (baatezu),16,Huge,"outsider(evil, lawful)",24,LE,,Any/Underground,Material,175, Book of Vile Darkness,1
Devil: Kocrachon (baatezu),6,Medium,"outsider(evil, lawful)",6,LE,,Any/Underground,Material,175, Book of Vile Darkness,1
Eye Of Fear And Flame,8,Medium,undead,12,CE,,Any/Underground,Material,177, Book of Vile Darkness,1
Kython Broodling,1,Small,aberration,2,NE,,Any/Underground,Material,179, Book of Vile Darkness,1
"Kython, Adult",5,Medium,aberration,10,NE,,Any/Underground,Material,179, Book of Vile Darkness,1
"Kython, Juvenile",3,Medium,aberration,6,NE,,Any/Underground,Material,179, Book of Vile Darkness,1
Kython Impaler,8,Medium,aberration,12,NE,,Any/Underground,Material,180, Book of Vile Darkness,1
Kython Slaughterking,13,Large,aberration,18,NE,,Any/Underground,Material,180, Book of Vile Darkness,1
Kython Slaymaster,11,Large,aberration,15,NE,,Any/Underground,Material,180, Book of Vile Darkness,1
Vaath,4,Large,outsider,6,NE,,Any/Underground,Material,182, Book of Vile Darkness,1
Vilewight,8,Medium,undead,12,NE,,Any/Underground,Material,183, Book of Vile Darkness,1
"Bugbear, Bone",7,Medium,undead(AUGMENTED),8,CE,,Underground,Material,184, Book of Vile Darkness,1
Corpse Barbarian,4,Medium,undead(AUGMENTED),3,CE,,Any,Material,185, Book of Vile Darkness,1
"Wolf, Corrupted",2,Medium,aberration(AUGMENTED),2,NE,,Forests/Hills/Mountains/Plains,Material,186, Book of Vile Darkness,1
"Devil: Imp, Filth",2,Tiny,"outsider(evil, extraplanar, lawful)",2,LE,,Any/Underground,Baator (Nine Hells),100,Fiend Folio,1
Indricothere,9,Huge,animal,16,N,,Forests/Hills/Plains,Material,100,Fiend Folio,1
Inevitable: Quarut,17,Medium,"construct(extraplanar, lawful)",18,LN,,Any/Underground,Mechanus,102,Fiend Folio,1
Inevitable: Varakhut,19,Large,"construct(extraplanar, lawful)",22,LN,,Any/Underground,Mechanus,103,Fiend Folio,1
Iron Cobra,2,Medium,construct,2,N,,Any,Material,103,Fiend Folio,1
Ironmaw,13,Huge,plant(extraplanar),12,NE,,Temperate/Warm Forests/Hills/Marshes,Abyss,104,Fiend Folio,1
Jackal Lord,8,Medium,monstrous humanoid,8,LE,,Deserts/Underground,Material,105,Fiend Folio,1
Jackalwere,2,Medium,magical beast(shapechanger),4,CE,Temperate,any,Material,107,Fiend Folio,1
Kaorti,1,Medium,"outsider(evil, extraplanar)",2,NE,,Any,Any Evil,108,Fiend Folio,1
Keeper,7,Medium,outsider(extraplanar),4,N,,Any,,111,Fiend Folio,1
Kelp Angler,9,Large,plant,11,N,,Aquatic,Material,113,Fiend Folio,1
Kelpie,10,Large,fey(aquatic),10,CE,,Aquatic/ANY,Material,114,Fiend Folio,1
Khaasta,3,Medium,"monstrous humanoid(extraplanar, reptilian)",3,CE,,Any/Underground,Outlands,115,Fiend Folio,1
Kuldurath,8,Large,magical beast(extraplanar),9,N,,Hills/Plains,Outlands,116,Fiend Folio,1
Living Holocaust,13,Small,"elemental(air, extraplanar, fire)",15,CE,Temperate/Warm,ANY/Underground,Abyss,117,Fiend Folio,1
Lucent Worm,17,Gargantuan,magical beast,22,N,,Aquatic/Mountains/Underground,Material,118,Fiend Folio,1
Abrian,1,Medium,magical beast(extraplanar),2,CE,,Hills/Plains,Abyss,12,Fiend Folio,1
"Ghoul, Abyssal",10,Medium,undead(extraplanar),16,CE,,Any/Underground,Abyss,12,Fiend Folio,1
Maelephant,10,Large,"outsider(evil, extraplanar, lawful)",8,LE,,Any/Underground,Baator (Nine Hells),120,Fiend Folio,1
Maug,3,Large,construct(extraplanar),2,LN,,Any/Underground,Acheron,121,Fiend Folio,1
Maulgoth,17,Huge,aberration(earth),20,NE,,Underground,Material,123,Fiend Folio,1
Megatherium,8,Huge,animal,13,N,,Forests/Hills/Plains,Material,124,Fiend Folio,1
Mongrelfolk,1/3,Medium,humanoid,1,LN,,Any/Underground,Material,125,Fiend Folio,1
Necrophidius,2,Medium,construct,2,N,,Any/Underground,Material,126,Fiend Folio,1
Nerra Kalareem,3,Medium,outsider(extraplanar),3,N,,Any/Underground,Mirrors,128,Fiend Folio,1
Nerra Sillit,6,Medium,outsider(extraplanar),7,N,,Any/Underground,Negative Energy,129,Fiend Folio,1
Nerra Varoot,1,Medium,outsider(extraplanar),1,N,,Any/Underground,Negative Energy,130,Fiend Folio,1
